product_id,sub_category
530,Nail Polish Remover Wipe
531,Eau De Toilette
532,Conditioner
533,Face Primer
534,Setting Spray
536,Eau De Toilette
537,Body Lotion
538,Hair Oil
539,Face Wash
540,Hair Gel
541,Deodorant
543,Lip Liner
546,Hair Oil
547,Deodorant
548,Deodorant
551,Hair Serum
552,Lipstick
553,Hair Color Conditioner
554,Shampoo
555,Face Cleanser
556,Manicure Pedicure Tool
557,Sunscreen
558,Body Mist
559,Eyeliner
560,Body Splash
561,Eye Shadow
562,Cleansing Oil
563,Makeup Brush
564,Perfume
566,Skin Cleanser
569,Nail Polish Remover Wipe
570,Skin Toner
572,Hair Gel
574,Face Concealer
575,Hair Oil
576,Lip Tint
577,Lip Tint
578,Lipstick
579,Acne Patch
580,Eau De Parfum
582,Lipstick
583,Massage Oil
584,Eau De Parfum
585,Foundation
587,Deodorant
590,"Face Wash, Face Scrub & Brightening Cream"
591,Face Sunscreen
592,Nail Polish
594,Liquid Lipstick
595,Nail Polish
597,Face Sunscreen
599,Hair Serum
601,Eyebrow Pencil
603,"Face Wash, Face Scrub, Body Wash & Body Scrub"
604,Eau De Toilette
605,Shampoo
606,Body Lotion
607,Mascara
609,Perfume
610,Hair Oil
614,Blush
615,Eyelash Curler
617,Foundation
622,Shaver
623,Lip Gloss
624,Eyeshadow Palette
625,Lipstick
627,Sheet Mask
628,Deodorant
629,Eau De Parfum
630,Eye Palette
631,Eye Palette
633,Body Scrub
638,Eau De Parfum
639,Body Wash
640,"Shower Gel, Body Lotion, Bath Salt, Bathing Bar & Potli with Bud"
641,Setting Spray
642,Shower Gel
643,Face Mask
645,Shower Gel
646,Body Wash
647,Face Sunscreen
648,Hair Oil
651,Lip Tint
658,Lipstick
661,Face Wash
662,Lipstick
663,Eau De Parfum
664,Body Sunscreen
666,Conditioner
667,Body Scrub
668,Eau De Parfum
670,Face Wash
672,Parfum
673,Shampoo
674,Soap
675,Peeling Solution
676,Deodorant
677,Face Sunscreen
680,Setting Spray
683,Eau De Parfum
684,Lip Liner
685,Lip Liner
686,Eye Shadow
687,Face Sunscreen
688,Eau De Toilette
691,Skin Cleanser
696,Body Wash
698,Eyebrow Enhancer Pencil
702,Eau De Parfum
703,Nail Polish
704,Face Moisturizer
707,Lipstick
708,Eye Palette
712,Face Wash
713,Nail Polish
714,Conditioner
715,Eau De Parfum
716,Face Mask
718,Eau De Toilette
719,Perfume
720,Eyeshadow Palette
721,Blush
723,Nail Polish
724,Nail Glue
725,Facial Cream
727,Face Serum
728,Eau De Toilette
729,Foundation
730,Makeup Remover
732,Body Lotion
736,Nail Polish
737,Hair Mask
739,Shampoo
740,Liquid Highlighter
741,Nail Polish
743,Blush
744,Lip Tint
746,Body Scrub
747,Shampoo
748,Lip Gloss
749,Eau De Parfum
752,Eau De Parfum
753,Face Serum
760,Body Butter
764,Face Wash
767,Eyeliner
768,Highlighter
769,Hair Cream & Hair Gel
771,Eye Shadow Stick
772,Hair Serum
774,Makeup Remover
775,Eyeshadow Palette
777,Kajal
778,Deodorant
779,Eau De Toilette
780,"Face Wash, Face Serum, Sheet Mask & Perfume"
782,Kajal
783,Bronzer
784,Lip Tint
785,"Eye Mask, Sleeping Mask & Lip Treatment"
786,Hair Mask
787,Face Moisturiser
790,Eye Pencil
791,Shower Gel
793,Parfum
796,Face Primer
797,Eau De Toilette
798,Face Serum
799,Face Moisturizer
800,Body Scrub
801,Eyelash
802,Nail & Cuticle Oil
803,Makeup Brush
804,Highlighter
807,Hair Serum
808,Body Scrub
809,Nail Polish
810,Blush
811,Body Scrub
813,Hair Oil
814,Body Wash
815,Mascara
816,Conditioner
817,Blush
820,Blusher & Highlighter Palette
821,Hair Serum
822,Makeup Remover
823,Sheet Mask
824,Body Lotion
825,Eye Serum
826,Eau De Toilette
827,Face Sunscreen
828,Foundation
830,Toner
832,Compact
833,Cuticle Softener
836,Eye Pen
837,Eyeshadow Palette
838,Soap
839,Body Wash
843,Face Mask
846,Face Sunscreen
847,Eyeshadow Palette
848,Nail Polish
849,Eau De Parfum
850,Makeup Pouche
852,Mascara
