product_id,brand
547,Wild Stone
548,Playboy
550,Diesel
551,L'occitane
552,M.A.C
553,L'Oreal Paris
554,L'OREAL PROFESSIONNEL
555,Bioderma
556,Bronson Professional
558,Guess
559,Maybelline New York
560,Layer'r
562,Bioderma
563,PAC
564,Gucci
566,Episoft
569,Insight Cosmetics
570,I'm From
572,Fix My Curls
574,Maybelline New York
575,Kama Ayurveda
576,Rom&nd
578,M.A.C
579,COSRX
580,Ajmal
582,M.A.C
583,Forest Essentials
584,Kayali
585,Colorbar
587,AND
590,The Man Company
591,Bioderma
592,KIKO Milano
594,Smashbox
595,Lakme
597,Akind
599,Nexxus
601,FENTY BEAUTY
603,mCaffeine
604,Maison Margiela
605,Forest Essentials
606,L'occitane
607,Benefit Cosmetics
609,Bella Vita
610,Wella Professionals
611,Huda Beauty
612,PAC
614,PAC
615,Vega
617,TIRTIR
622,Philips
623,Makeup Revolution
624,Rom&nd
625,M.A.C
627,Mixsoon
628,Ajmal
629,Guess
630,Yves Saint Laurent
631,Makeup Revolution
633,Murshmallow
636,Rabanne
638,Jimmy Choo
640,Kimirica
641,FENTY BEAUTY
642,Dream. Immerse. Play.
643,FENTY SKIN
645,Treaclemoon
646,Dove
647,WishCare
648,Amazon Series
651,Nuse
652,Coach
654,bareMinerals
657,Laneige
658,Estee Lauder
661,Simple
662,M.A.C
663,Ajmal
664,Biore
667,mCaffeine
668,Boss
670,Lakme
672,Burberry
673,Nexxus
674,Sebamed
675,Pilgrim
676,L'occitane
677,SKIN1004
680,Insight Cosmetics
682,PAC
683,Burberry
684,M.A.C
685,PAC
686,Profusion Cosmetics
688,DAVIDOFF
691,Bioderma
693,Beauty of Joseon
694,Coach
698,Benefit Cosmetics
702,Wild Stone
703,Nails Our Way
704,CLINIQUE
707,M.A.C
708,PAC
710,Clarins
711,Colour Me
712,Simple
713,Lakme
716,I'm From
718,Maison Margiela
719,Diesel
720,Makeup Revolution
721,M.A.C
722,Cacharel
723,Lakme
724,Miss Claire
725,Nuse
727,Akind
728,DAVIDOFF
729,FENTY BEAUTY
730,CLINIQUE
732,THE LOVE CO.
736,Lakme
738,Nails Our Way
739,WishCare
740,Swiss Beauty
741,Nails Our Way
743,Nuse
744,Nuse
746,mCaffeine
747,L'OREAL PROFESSIONNEL
748,Gush Beauty
749,Wild Stone
752,Plum
764,Beardo
767,Swiss Beauty
768,PAC
769,Fix My Curls
771,FENTY BEAUTY
772,mCaffeine
773,Lakme
774,Tulips
775,Rom&nd
777,RENEE
779,Police
780,The Man Company
781,PAC
782,Lakme
783,Benefit Cosmetics
784,ETUDE HOUSE
785,Laneige
787,Laneige
789,Plum
790,Huda Beauty
791,Moroccanoil
792,bareMinerals
793,Ajmal
794,Sheglam
795,bareMinerals
796,ETUDE HOUSE
797,Burberry
798,Plum
800,Be Bodywise
801,PAC
802,L'occitane
803,Real Techniques
804,PAC
807,Streax Professional
808,SKIN COTTAGE
809,Nails Our Way
810,Bobbi Brown
811,mCaffeine
813,WishCare
814,Dove
815,Huda Beauty
816,LOVE beauty AND planet
817,Sheglam
820,Swiss Beauty
821,Matrix
822,Bioderma
823,The Derma Co
824,Plum
825,The Ordinary
826,Burberry
827,La Shield
828,Charmacy Milano
830,Minimalist
832,FENTY BEAUTY
833,Nails Our Way
834,bareMinerals
836,Insight Cosmetics
837,Daily Life Forever52
838,The Sass Bar
839,Nivea
843,Laneige
846,Innisfree
847,Rom&nd
848,Nails Our Way
849,Beardo
850,PAC
851,bareMinerals
852,Insight Cosmetics
853,Miss Claire
854,Anastasia Beverly Hills
855,Forest Essentials
856,Aqualogica
858,Bioderma
859,Moroccanoil
860,Bioderma
861,PAC
863,Neutrogena
864,Huda Beauty
865,Faces Canada
866,Vaseline
867,Dove
870,Too Faced
872,Aveeno
876,Nivea
878,PAC
879,Forest Essentials
880,Axis-Y
883,Ajmal
884,Ajmal
885,Philips
887,Plum
889,Plum
893,Maison Margiela
895,mCaffeine
896,Laneige
898,L'Oreal Paris
899,Smashbox
900,Calvin Klein
901,Natio
902,Insight Cosmetics
903,Beardo
904,Plum
906,Burberry
908,Charmacy Milano
