category,sub_category
makeup,Strobe Cream
hair,Serum
bath-body,Shower Oil
bath-body,Body Polish
hair,Roll On
men,Face Sunscreen
skin,Acne Spot Gel
makeup,Eye Brush
makeup,Powder Highlighter
men,Body Groomer
fragrance,Deodorant Spray
bath-body,"Shower Gel, Body Lotion & Loofah"
makeup,Mascara Lash Brush
bath-body,Body Sunscreen Lotion
bath-body,Night Cream
men,Shaving Gel
hair,Hair volume Powder
fragrance,Eau De Parfum & Deodorant
hair,Hair Wax
makeup,Liquid Blush
hair,Scalp Serum
fragrance,Roll On
men,"Face Wash, Face Scrub & Cream"
makeup,"Liquid Blush, Lip Gloss & Lip Liner"
skin,Serum
bath-body,Body Cleanser
skin,Body Wash
fragrance,Eau De Parfum & Pen Spray
makeup,CC Cream
men,Aloe Shave Gel
bath-body,Bath Glove
