,product_id,brand
812,1179,Forest Essentials
813,1180,Bioderma
814,1181,FENTY BEAUTY
815,1182,SKIN1004
816,1183,Nails Our Way
817,1184,Plum
818,1185,K18
819,1186,WishCare
820,1187,Forest Essentials
821,1189,Sheglam
822,1191,Calvin Klein
823,1194,Giorgio Armani
824,1196,FENTY SKIN
825,1198,Ajmal
826,1200,Minimalist
828,1204,EDW Essenza
829,1205,Benefit Cosmetics
830,1206,Dermalogica
831,1207,Treaclemoon
832,1208,Faces Canada
833,1209,brwn. pro-melanin care
834,1211,Sheglam
835,1213,Yardley London
836,1214,Sheglam
837,1215,Ajmal
839,1217,L'Oreal Paris
840,1219,Maybelline New York
841,1220,Lakme
842,1223,Beauty of Joseon
843,1227,M.A.C
844,1228,Klairs
845,1229,Bioderma
846,1231,PAC
847,1234,Treaclemoon
848,1236,M.A.C
849,1238,RENEE
850,1240,Lakme
851,1241,The Ordinary
852,1242,Burberry
853,1243,RENEE
854,1244,Calvin Klein
855,1245,Akind
856,1247,Burberry
857,1248,Laneige
858,1249,Soulflower
859,1254,Akind
860,1256,FENTY SKIN
861,1257,M.A.C
862,1258,Prada
863,1261,Hugo Boss
864,1262,La Shield
865,1263,Faces Canada
866,1264,Benefit Cosmetics
867,1265,Fixderma
868,1266,Moroccanoil
869,1268,Bobbi Brown
870,1269,Daily Life Forever52
871,1271,Caudalie
872,1272,Calvin Klein
873,1273,Treaclemoon
874,1275,Rom&nd
875,1276,Cetaphil
876,1277,Aqualogica
877,1279,KIRO
878,1280,M.A.C
879,1281,Benefit Cosmetics
880,1282,Vaseline
881,1283,KIKO Milano
882,1285,Layer'r
883,1288,Swiss Beauty
884,1289,Police
885,1292,Nuse
886,1296,Nuse
887,1297,The Face Shop
888,1298,Plum
890,1302,Azzaro
891,1303,Nuse
892,1304,Huda Beauty
893,1306,Ajmal
894,1307,Re'equil
895,1308,Sheglam
896,1309,Schwarzkopf Professional
897,1311,Dove
898,1313,Ajmal
899,1315,Aqualogica
900,1316,Benefit Cosmetics
901,1317,PAC
902,1318,Swiss Beauty
905,1323,mCaffeine
906,1325,The Body Shop
907,1326,FENTY SKIN
908,1328,Beauty of Joseon
909,1329,Nuse
910,1333,Majestique
911,1334,FCL
913,1336,Adidas
914,1337,M.A.C
915,1340,Nails Our Way
916,1344,Colorbar
917,1345,Burberry
918,1346,Yves Saint Laurent
919,1348,LOVE beauty AND planet
921,1353,The Face Shop
922,1355,Be Bodywise
923,1356,Nuse
924,1357,Nivea
925,1360,Maison Margiela
926,1361,Lakme
927,1362,Aqualogica
928,1363,SP
929,1367,KIRO
930,1368,Nails Our Way
931,1369,Huda Beauty
932,1371,Plum
933,1372,Plum
934,1373,Sheglam
935,1374,bareMinerals
936,1375,Innisfree
937,1376,Moroccanoil
938,1377,Burberry
939,1378,Lakme
940,1379,Akind
941,1380,Lancome
942,1381,Plum
943,1382,COSRX
944,1383,Plum
946,1386,Pilgrim
947,1387,M.A.C
948,1388,Plum
950,1390,PAC
951,1394,Lakme
952,1396,Dove
953,1397,bareMinerals
954,1398,Deconstruct
955,1399,Prada
956,1401,mCaffeine
957,1402,Rom&nd
958,1405,Giorgio Armani
959,1406,Forest Essentials
960,1407,mCaffeine
961,1408,Plum
962,1410,KIKO Milano
963,1412,Maybelline New York
964,1415,Lakme
965,1418,SKIN COTTAGE
966,1419,Bioderma
967,1420,L'occitane
968,1421,PAC
970,1425,M.A.C
971,1426,Dermalogica
972,1427,Ralph Lauren
973,1428,Beardo
974,1430,Olaplex
975,1432,Huda Beauty
976,1433,Insight Cosmetics
977,1435,Nails Our Way
978,1437,RENEE
979,1438,Fixderma Cosmetic Laboratories
980,1440,Plum
981,1441,Kama Ayurveda
982,1444,Re'equil
983,1446,Kimirica
984,1448,Schwarzkopf
985,1450,FENTY BEAUTY
986,1451,SKIN COTTAGE
987,1452,Patchology
988,1453,Rom&nd
989,1454,Laura Mercier
990,1455,Swiss Beauty
991,1456,GUBB
992,1458,RENEE
993,1460,THE LOVE CO.
994,1461,Beauty of Joseon
995,1464,Dr. Sheth's
997,1468,Maybelline New York
998,1469,Natio
999,1471,mCaffeine
1001,1473,Nautica
1002,1476,Calvin Klein
1003,1477,LOVE beauty AND planet
1004,1479,FAE BEAUTY
1006,1482,RENEE
1007,1483,DAVIDOFF
1008,1485,Chopard
1009,1486,Burberry
1010,1487,Police
1011,1489,Armaf
1012,1490,Burberry
1013,1491,Sebamed
1014,1492,Be Bodywise
1015,1494,Sheglam
1016,1498,RENEE
1017,1499,Maybelline New York
1018,1501,Dove
1019,1503,Mamaearth
1020,1505,CLINIQUE
1021,1510,Ajmal
1022,1511,Plum
1023,1512,Too Faced
1024,1514,Max Care
1025,1517,Brillare
1026,1518,Ajmal
1027,1519,Bioderma
1028,1520,Boss
1029,1521,Dermalogica
1030,1522,Laneige
1031,1524,WishCare
1032,1525,Soulflower
1034,1528,OUAI
1035,1529,Fix My Curls
1036,1532,LOVE beauty AND planet
1037,1533,L'Oreal Paris
1038,1534,M.A.C
1039,1535,Valentino
1040,1537,Insight Cosmetics
1041,1538,PAC
1042,1539,Streax
1043,1540,Nuse
1044,1541,Cetaphil
1045,1542,Streax Professional
1046,1545,Gillette
1047,1546,Laneige
1048,1547,mCaffeine
1049,1548,Kayali
1050,1549,Huda Beauty
1051,1553,L'Oreal Paris
1052,1554,Colorbar
1053,1555,ETUDE HOUSE
1054,1557,Insight Cosmetics
1055,1558,Police
1056,1559,Sheglam
1057,1560,Nails Our Way
1058,1563,Colour Me
1059,1564,Colour Me
1060,1565,Ajmal
1061,1566,Lancome
1062,1567,Anastasia Beverly Hills
1063,1569,AND
1064,1570,Huda Beauty
1065,1572,M.A.C
1066,1573,The Face Shop
1067,1575,Maybelline New York
1068,1578,Dr. Sheth's
1069,1579,Plum
1070,1586,Bombay Shaving Company
1071,1588,Nivea
1072,1590,Swiss Beauty
1073,1591,Akind
1074,1592,M.A.C
1075,1593,Dream. Immerse. Play.
1076,1594,Natio
1077,1596,Anastasia Beverly Hills
1078,1597,ClayCo.
1079,1598,Nails Our Way
1080,1600,Nails Our Way
1081,1603,PAC
1082,1604,Bioderma
1083,1605,Rom&nd
1084,1607,Jimmy Choo
1085,1608,Dorall Collection
1086,1609,Dream. Immerse. Play.
1087,1611,M.A.C
1088,1612,M.A.C
1089,1615,Minimalist
1090,1618,Diesel
1091,1619,COSRX
1092,1620,Dove
1093,1621,AND
1094,1623,Lakme
1096,1627,Too Faced
1097,1629,Schwarzkopf Professional
1098,1630,M.A.C
1099,1632,WishCare
1100,1638,Bobbi Brown
1101,1640,Real Techniques
1102,1641,ClayCo.
1103,1644,Insight Cosmetics
1104,1646,Nivea
1105,1647,The Body Shop
1106,1648,Laneige
1107,1651,WishCare
1108,1652,Treecell
1109,1654,Jean Paul Gaultier
1110,1656,FENTY BEAUTY
1111,1660,L'Oreal Paris
1112,1661,Bronson Professional
1114,1665,Bioderma
1115,1667,Carolina Herrera
1116,1668,M.A.C
1117,1669,bareMinerals
1118,1673,Tangle Teezer
1119,1675,Calvin Klein
1121,1678,Sulwhasoo
1123,1681,COSRX
1124,1683,Minimalist
1125,1685,Dove
1126,1686,COSRX
1127,1689,bareMinerals
1128,1694,Jo Malone London
1129,1695,I'm From
1130,1697,Smashbox
1131,1698,Sachajuan
1132,1699,Kama Ayurveda
1133,1700,Nautica
1134,1702,Jean Paul Gaultier
1135,1705,mCaffeine
1136,1707,Maybelline New York
1137,1708,Lakme
1138,1712,Nails Our Way
1139,1713,Laneige
1140,1714,Patchology
1141,1715,Pilgrim
1142,1716,CLINIQUE
1143,1717,Minimalist
1144,1718,AND
1145,1720,Salvatore Ferragamo
1146,1721,Sachajuan
1147,1722,PIXI
1148,1724,CR7 Cristiano Ronaldo
1149,1725,Giorgio Armani
1150,1726,LOVE beauty AND planet
1151,1727,Wild Stone
1152,1729,Neutrogena
1154,1731,Anastasia Beverly Hills
1155,1732,Colour Me
1156,1733,bareMinerals
1157,1734,Moroccanoil
1158,1735,Too Faced
1160,1737,Bronson Professional
1161,1739,Wild Stone
1162,1742,Huda Beauty
1163,1743,Deconstruct
1164,1744,Treecell
1165,1745,Milk Shake
1166,1747,The Face Shop
1167,1748,SKIN1004
1168,1749,Aqualogica
1169,1750,Plum
1170,1751,Plum
1171,1752,Brillare
1172,1753,Insight Cosmetics
1173,1754,Lakme
1174,1755,Nuse
1175,1756,Maybelline New York
1176,1757,KIRO
1177,1758,ClayCo.
1178,1759,Laura Mercier
1179,1761,Be Bodywise
1180,1762,INGLOT
1181,1763,Brillare
1182,1764,Maybelline New York
1183,1765,Makeup Revolution
1184,1766,Plum
1185,1767,Jean Paul Gaultier
1186,1769,Nails Our Way
1187,1770,Beauty of Joseon
1188,1772,Beauty of Joseon
1189,1773,Plum
1190,1774,Re'equil
1191,1777,PAC
1193,1780,Minimalist
1194,1781,Beardo
1195,1782,Natio
1196,1783,Foxtale
1197,1784,Burberry
1198,1787,Calvin Klein
1199,1788,Too Faced
1201,1790,Ramsons
1202,1792,Lakme
1203,1796,mCaffeine
1205,1799,Jimmy Choo
1206,1800,SUGAR Cosmetics
1207,1804,Boss
1208,1805,Shiseido
1209,1806,Laura Mercier
1210,1807,Beardo
1211,1808,Dove
1212,1811,mCaffeine
1213,1812,Huda Beauty
1214,1815,Swiss Beauty
1215,1816,Minimalist
1216,1818,Rom&nd
1217,1819,Aveeno
1218,1820,M.A.C
1219,1822,The Body Shop
1220,1824,KIKO Milano
1221,1828,Akind
1222,1829,FENTY BEAUTY
1223,1830,Nails Our Way
1224,1831,Beardo
1225,1833,Police
1226,1834,Minimalist
1227,1835,Minimalist
1228,1836,Huda Beauty
1229,1837,Treaclemoon
1230,1842,Burberry
1231,1843,Lakme
1232,1844,David Beckham
1233,1846,PAC
1234,1850,PAC
1235,1852,L'Oreal Paris
1236,1853,Rom&nd
1237,1854,Nuse
1238,1859,Diesel
1239,1860,OUAI
1240,1864,PAC
1241,1866,Neutrogena
1242,1869,Maybelline New York
1243,1870,Engage
1244,1872,Prada
1245,1873,Minimalist
1246,1874,Swiss Beauty
1247,1875,Police
1248,1878,Yardley London
1249,1879,FENTY BEAUTY
1250,1881,The Face Shop
1251,1882,Caudalie
1252,1883,Beardo
1253,1885,Nautica
1254,1888,The Derma Co
1255,1889,Boss
1256,1891,Bigen
1257,1892,Profusion Cosmetics
1258,1893,Kayali
1259,1896,Smashbox
1260,1899,Bobbi Brown
1261,1900,Calvin Klein
1262,1901,mCaffeine
1263,1903,Chambor
1264,1904,Anastasia Beverly Hills
1265,1906,Patchology
1266,1907,Kimirica
1267,1909,Sheglam
1268,1912,Nuse
1269,1913,SKIN COTTAGE
1270,1914,Soulflower
1271,1915,TIRTIR
1272,1916,L'Oreal Paris
1273,1917,Plum
1274,1918,Anastasia Beverly Hills
1275,1923,Insight Cosmetics
1276,1924,Kayali
1277,1925,Plum
